Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,CV Accuracy (mean),CV Accuracy (std)
Logistic Regression,0.9649122807017544,0.975,0.9285714285714286,0.9512195121951219,0.996031746031746,0.9736263736263737,0.014906219743132443
SVM (RBF Kernel),0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.9947089947089947,0.9714285714285713,0.00538349394018279
Random Forest,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.9943783068783069,0.9604395604395606,0.016446845656149216
XGBoost,0.9649122807017544,1.0,0.9047619047619048,0.95,0.9897486772486772,0.9714285714285715,0.011206636293610512
